date,open,high,close,low,volume,amount
2015-03-16,4.4,4.46,4.44,4.31,81212976.0,1073862784.0
2015-03-13,4.33,4.44,4.44,4.31,40548836.0,532739744.0
2015-03-12,4.41,4.63,4.41,4.3,71505720.0,962979904.0
2015-03-11,4.43,4.47,4.36,4.31,59110248.0,780300736.0
2015-03-10,4.37,4.54,4.51,4.22,105753088.0,1393819776.0
2015-03-09,4.57,4.89,4.69,4.55,139091552.0,1994454656.0
2015-03-06,4.04,4.44,4.44,4.04,89486704.0,1167752960.0
2015-03-05,4.24,4.25,4.04,4.01,26040832.0,966927360.0
2015-03-04,4.63,4.63,4.41,4.17,26636174.0,1060270720.0
2015-03-03,4.04,4.35,4.35,4.0,19290366.0,733336768.0
2015-03-02,3.6,3.95,3.95,3.54,21216094.0,734970496.0
2015-02-27,3.53,3.59,3.59,3.42,19202922.0,603841088.0
2015-02-26,3.55,3.62,3.6,3.49,4730937.0,152642944.0
2015-02-25,3.57,3.62,3.57,3.43,4085557.0,130985088.0
2015-02-17,3.64,3.64,3.55,3.52,4756263.0,152993376.0
2015-02-16,3.56,3.63,3.61,3.49,6287669.0,203381824.0
2015-02-13,3.41,3.65,3.61,3.41,10385386.0,334657056.0
2015-02-12,3.32,3.4,3.34,3.29,5074360.0,154121504.0
2015-02-11,3.28,3.33,3.3,3.21,4586782.0,135803136.0
2015-02-10,3.18,3.3,3.27,3.17,4262254.0,125091008.0
2015-02-09,3.25,3.31,3.17,3.15,5606230.0,162308672.0
2015-02-06,3.58,3.62,3.25,3.23,9664353.0,294422176.0
2015-02-05,3.61,3.72,3.59,3.56,9880717.0,325464736.0
2015-02-04,3.44,3.72,3.7,3.4,14407480.0,460962368.0
2015-02-03,3.76,3.76,3.51,3.39,14660426.0,467450336.0
2015-02-02,3.53,3.71,3.71,3.51,8845918.0,292162496.0
2015-01-30,3.7,3.73,3.57,3.55,8300768.0,272982464.0
2015-01-29,3.78,3.88,3.68,3.66,11164137.0,379533248.0
2015-01-28,3.76,3.87,3.83,3.7,12260349.0,420657216.0
2015-01-27,4.08,4.17,4.01,3.89,9118979.0,331396768.0
2015-01-26,4.04,4.17,4.08,3.96,8692676.0,319110176.0
2015-01-23,4.26,4.31,4.12,4.09,12420845.0,468027296.0
2015-01-22,4.2,4.63,4.32,4.17,20290192.0,810993536.0
2015-01-21,4.33,4.35,4.27,4.1,16779180.0,645264256.0
2015-01-20,3.89,4.27,4.27,3.89,18304456.0,673368256.0
2015-01-19,3.99,4.32,3.89,3.76,21471180.0,787394304.0
2015-01-16,4.12,4.41,4.17,4.11,19488800.0,747840704.0
2015-01-15,4.31,4.39,4.17,4.05,23809032.0,907011392.0
2015-01-14,3.79,4.26,4.26,3.79,24429670.0,897659136.0
2015-01-13,3.57,3.95,3.87,3.49,25113128.0,838520320.0
2015-01-12,3.21,3.59,3.59,3.18,23868444.0,736970496.0
2015-01-09,3.14,3.44,3.27,3.1,24009574.0,724228736.0
2015-01-08,3.11,3.23,3.13,3.08,12825633.0,364587648.0
2015-01-07,3.01,3.35,3.23,2.9,23593546.0,682804160.0
2015-01-06,2.79,3.1,3.04,2.72,14263453.0,379474432.0
2015-01-05,2.89,3.15,2.91,2.88,11705101.0,317282432.0
