,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,0.02,3086.7054,3090.139,3090.6309,3095.4826,3081.278,129635230,1501.6423
1,000002,Ａ股指数,0.02,3232.3657,3235.9725,3236.4829,3241.5727,3226.6723,129525528,1500.9363
2,000003,Ｂ股指数,0.06,325.4875,325.5169,325.71,326.0553,325.0483,109702,0.7059
3,000008,综合指数,0.06,2736.5248,2738.118,2739.6751,2744.7109,2735.656,27424420,273.767
4,000009,上证380,0.06,5303.0357,5308.4514,5311.5297,5318.9893,5282.4782,40611747,413.0895
5,000010,上证180,0.15,7361.0243,7372.0415,7383.4067,7386.0356,7361.0243,34177742,387.7272
6,000011,基金指数,0.06,5765.0377,5765.3226,5768.5485,5770.7927,5763.6114,16624898,342.4574
7,000012,国债指数,-0.02,160.2314,160.2164,160.1821,160.2325,160.1601,119089,1.185
8,000016,上证50,0.29,2351.5202,2354.753,2361.6616,2363.3566,2351.5202,14304568,189.6671
9,000017,新综指,0.02,2606.1952,2609.1032,2609.5207,2613.6107,2601.5994,127680318,1457.2352
10,000300,沪深300,0.17,3395.2318,3398.1127,3403.8492,3405.9448,3392.3776,71473525,783.9708
11,000905,中证500,-0.02,5973.768,5976.2998,5974.9772,5990.4353,5942.6096,55068152,646.6896
12,399001,深证成指,-0.03,9978.495,9974.348,9970.962,10005.714,9922.763,14348659490,2036.7374
13,399002,深成指R,-0.03,11816.36,11811.131000000001,11807.44,11848.591999999999,11750.363000000001,6396539082,852.3501
14,399003,成份Ｂ指,0.35,5763.878000000001,5755.028,5774.9980000000005,5789.485,5759.607,5984437,0.5192
15,399004,深证100R,0.01,4597.316,4593.522,4594.101,4611.227,4572.314,2356217780,337.4389
16,399005,中小板指,-0.3,6529.959,6515.7609999999995,6496.075,6544.267,6465.959,1141823635,214.0507
17,399006,创业板指,-0.69,1812.7320000000002,1813.506,1801.078,1815.809,1793.0410000000002,867671403,141.1522
18,399008,中小300,-0.33,1377.996,1376.307,1371.6970000000001,1381.184,1365.4279999999999,2467694576,374.2773
19,399100,新 指 数,0.02,8173.13,8172.368,8173.831,8197.699,8135.434,14193561315,2024.6494
20,399101,中小板综,-0.16,10875.219,10871.371000000001,10853.588,10906.486,10807.756000000001,5374718207,810.4012
21,399106,深证综指,-0.12,1855.7979999999998,1855.993,1853.714,1861.6329999999998,1845.21,14348659490,2036.7374
22,399107,深证Ａ指,-0.12,1941.151,1941.359,1938.961,1947.274,1930.043,14328883530,2035.6052
23,399108,深证Ｂ指,0.07,1094.95,1094.404,1095.17,1097.8,1092.9489999999998,19775960,1.1322
24,399333,中小板R,-0.3,7147.184,7131.302,7110.097,7162.844,7077.135,1141823635,214.0507
25,399606,创业板R,-0.68,1877.79,1878.533,1865.7179999999998,1880.9779999999998,1857.392,867671403,141.1522
