,year,m2,m1,m0,cd,qm,ftd,sd,rests
0,2015,1392278.10,400953.40,63216.60,337736.90,991324.70,288240.70,552073.50,151010.50
1,2014,1228374.80,348056.40,60259.50,287796.90,880318.40,264055.70,508878.10,107384.60
2,2013,1106525.00,337291.10,58574.40,278716.60,769233.90,232696.60,467031.10,69506.20
3,2012,974148.80,308664.20,54659.80,254004.50,665484.60,195940.10,411362.60,58181.90
4,2011,851590.90,289847.70,50748.50,239099.20,561743.20,166616.00,352797.50,42329.70
5,2010,725851.80,266621.50,44628.20,221993.40,459230.30,105858.70,303302.50,50069.10
6,2009,610224.50,221445.80,38247.00,183198.80,388778.70,84819.50,260752.70,43206.50
7,2008,475166.60,166217.10,34219.00,131998.20,308949.50,60103.10,217885.40,30961.10
8,2007,403442.20,152560.10,30375.20,122184.90,250882.10,46932.50,172534.20,31415.40
9,2005,298755.70,107278.80,24031.70,83247.10,191476.90,33100.00,141051.00,17325.90
10,2004,254107.00,95969.70,21468.30,74501.40,158137.20,25382.20,119555.40,13199.70
11,2003,221222.80,84118.60,19746.00,64372.60,137104.30,20940.40,103617.70,12546.20
12,2002,185007.00,70881.80,17278.00,53603.80,114125.20,16433.80,86910.70,10780.70
13,2001,158301.90,59871.60,15688.80,44182.80,98430.30,14180.10,73762.40,10487.80
14,2000,134610.40,53147.20,14652.70,38494.50,81463.20,11261.10,64332.40,5869.70
15,1999,119897.90,45837.30,13455.50,32381.80,74060.60,9476.80,59621.80,4962.00
16,1998,104498.50,38953.70,11204.20,27749.50,65544.90,8301.90,53407.50,3835.50
17,1997,90995.30,34826.30,10177.60,24648.70,56169.00,6738.50,46279.80,3150.70
18,1996,76094.90,28514.80,8802.00,19712.80,47580.10,5041.90,38520.80,4017.40
19,1995,60750.50,23987.10,7885.30,16101.80,36763.40,3324.20,29662.20,3777.00
20,1994,46923.50,20540.70,7288.60,13252.10,26382.80,1943.10,21518.40,2921.30
21,1993,34879.80,16280.40,5864.70,10415.70,18599.40,1247.90,15203.50,2148.00
22,1992,25402.20,11731.50,4336.00,7395.20,13670.70,--,--,--
23,1991,19349.90,8633.30,3177.80,5455.50,10716.60,--,--,--
24,1990,15293.40,6950.70,2644.40,4306.30,8342.70,--,--,--
