,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2017-05-12,514216422190,16141980020,532636804,4033272324,92045367,518249694514
1,2017-05-11,517233414474,17818195260,511674349,4006363416,76433190,521239777890
2,2017-05-10,522366049656,16913800523,527164831,4013054062,97212064,526379103718
3,2017-05-09,525065572900,14802506208,477961076,3854767665,46586689,528920340565
4,2017-05-08,525347761304,17661258004,510950712,3993596773,77930079,529341358077
5,2017-05-05,528720181291,17642881394,492128168,3975583520,70570041,532695764811
6,2017-05-04,532685207766,21326203514,494841508,3978450329,71709753,536663658095
7,2017-05-03,531245801538,18307201838,488721074,3952918760,76819853,535198720298
8,2017-05-02,531259620369,19054167988,467163116,3772831406,58206813,535032451775
9,2017-04-28,530329667127,17646789342,442441225,3671006916,40160912,534000674043
10,2017-04-27,533515685576,24547035898,478363323,3932938087,78172838,537448623663
11,2017-04-26,533367272469,21271519456,500197656,3880363204,92953893,537247635673
12,2017-04-25,533464968435,18205648475,490434136,3906328991,85108206,537371297426
13,2017-04-24,534439269559,18627416369,496832358,3800943303,96017428,538240212862
14,2017-04-21,538608445810,17034426828,454613394,3565027877,54522133,542173473687
15,2017-04-20,543909595954,23378624663,475675681,3698528698,78574764,547608124652
16,2017-04-19,545115793014,23401019016,495343117,3765069054,98903372,548880862068
17,2017-04-18,546435281623,23858788054,504274062,3861892996,91867270,550297174619
18,2017-04-17,546164795221,25427479080,505299918,3842612083,93761340,550007407304
19,2017-04-14,544867962113,24989821214,509818438,3869038787,96423293,548737000900
20,2017-04-13,547157833162,26347090124,562001793,4203291371,134339351,551361124533
21,2017-04-12,544699793451,36239017710,536859860,4105700165,119745075,548805493616
22,2017-04-11,543405620610,39238294257,517653541,4076179298,104226667,547481799908
23,2017-04-10,539288405156,29553694476,535824965,4038400765,121327931,543326805921
24,2017-04-07,537567404709,28121270901,502944528,3858152336,95871406,541425557045
25,2017-04-06,539083167166,30020955275,530171797,3987295361,117641633,543070462527
26,2017-04-05,538711252185,29640369957,476602630,3766704447,76420586,542477956632
27,2017-03-31,535699641718,18508132159,473099490,3634290548,70702324,539333932266
28,2017-03-30,539868684692,25347341220,499384107,3780142914,85869645,543648827606
29,2017-03-29,541086656099,23524572352,557733353,4198738904,132555423,545285395003
30,2017-03-28,540813227571,18673565474,504487923,3829041194,71959088,544642268765
31,2017-03-27,540023946311,24213194147,514332643,3946526092,87670770,543970472403
32,2017-03-24,537615245684,26140732123,519893856,4005834858,102982576,541621080542
33,2017-03-23,537516709084,23094288813,543490693,4079025716,107641968,541595734800
34,2017-03-22,536932700690,23446729286,542650229,4043393233,104908096,540976093923
35,2017-03-21,535559713983,20023598664,541482778,4052216015,116874518,539611929998
36,2017-03-20,534227970661,19660736723,494457663,3805301811,77614402,538033272472
37,2017-03-17,532459710928,22348530287,517640400,3891214217,108052757,536350925145
38,2017-03-16,532829101634,23318841374,502892302,3895170160,71113627,536724271794
39,2017-03-15,529674658034,17217866925,536562774,3933798944,97679618,533608456978
40,2017-03-14,528737903013,16667190566,511577456,3938830543,75715211,532676733556
41,2017-03-13,528649018916,19181433874,526077356,3894708619,99878074,532543727535
42,2017-03-10,527549728744,14551982050,513297363,3757623238,72574808,531307351982
43,2017-03-09,529818259278,18223640546,510483270,3801715306,79065654,533619974584
44,2017-03-08,530463329116,19129029367,555681475,3991511979,132238974,534454841095
45,2017-03-07,530273177529,19485234256,491243853,3616213870,99350175,533889391399
46,2017-03-06,529865824898,19035648329,493776623,3651107823,125493938,533516932721
47,2017-03-03,527920521386,17751141610,445341587,3429794174,80359868,531350315560
48,2017-03-02,530170254941,21211857140,457719608,3444258201,86960634,533614513142
49,2017-03-01,529809697429,23292334150,491345625,3618715780,137602688,533428413209
50,2017-02-28,528856868250,17727446342,436680068,3375593438,77633637,532232461688
51,2017-02-27,527293793769,21363145133,435707217,3394063149,62601584,530687856918
52,2017-02-24,525654220836,20653683582,442003649,3375705081,73231895,529029925917
53,2017-02-23,525817689808,24686882954,463593460,3538553924,77599461,529356243732
54,2017-02-22,523705409158,23833320262,466719650,3611107166,70124623,527316516324
55,2017-02-21,522276159654,24195255065,552630286,4057502951,136474786,526333662605
56,2017-02-20,521797169713,25567213705,535693977,3866762853,141555583,525663932566
57,2017-02-17,517982129346,23551677476,531053784,3773835126,140709278,521755964472
58,2017-02-16,518855552701,24226319951,497641495,3522402466,90600375,522377955167
59,2017-02-15,516029816019,26582091963,577216411,3908627729,172808330,519938443748
60,2017-02-14,514493589292,21279556607,465276441,3268476365,73376299,517762065657
61,2017-02-13,512891126892,25494319077,474961612,3318538647,112808145,516209665539
62,2017-02-10,509501164991,25684293331,410361347,3058976919,62794133,512560141910
63,2017-02-09,510301910232,22663085338,400907979,2999102374,55866642,513301012606
64,2017-02-08,507120995154,17527851456,409666257,2990431779,76546068,510111426933
65,2017-02-07,505290510411,14733134047,412826548,2855342420,82443370,508145852831
66,2017-02-06,505094124703,15607866098,375470591,2729574011,52236915,507823698714
67,2017-02-03,501587053948,13012665745,352372799,2591392792,36738999,504178446740
68,2017-01-26,498374008721,10368831308,334573344,2547782617,6634730,500921791338
69,2017-01-25,505982240630,12266684836,377504073,2796884705,29154433,508779125335
70,2017-01-24,507524064123,12326827603,390931193,2878112906,49957366,510402177029
71,2017-01-23,510210195581,14558396547,396351948,2895853009,57943826,513106048590
72,2017-01-20,511151354556,12168333608,388998751,2875530522,39181012,514026885078
73,2017-01-19,513286356018,12150234652,446701660,3181768033,73466992,516468124051
74,2017-01-18,514074153163,13462077516,479292071,3357240293,97458732,517431393456
75,2017-01-17,515589498006,14304069471,459513260,3276346000,62246078,518865844006
76,2017-01-16,516166619858,18744123693,468408987,3366270199,89447836,519532890057
77,2017-01-13,528892909817,14808474716,434442382,3147160699,52882035,532040070516
78,2017-01-12,533756166491,15745649736,449814088,3147374871,63277969,536903541362
79,2017-01-11,535042445743,18902724719,464150097,3257103313,89826296,538299549056
80,2017-01-10,536648846867,20212691796,466512102,3159415794,93465888,539808262661
81,2017-01-09,537718895628,20095812115,451035138,3151701673,91852042,540870597301
82,2017-01-06,537500878600,19869471573,418582234,2858333974,58039504,540359212574
83,2017-01-05,539549321455,19822922714,432558412,2988885418,73640617,542538206873
84,2017-01-04,540266946445,19600153246,411284970,2827996656,77535673,543094943101
85,2017-01-03,541086585301,16133800643,396621694,2751779090,60364739,543838364391
