,code,name,date,count,ratio
0,000610,西安旅游,2016-02-29,4000.00,16.90
1,002017,东信和平,2016-02-29,190.48,0.55
2,002689,远大智能,2016-02-29,581.26,0.60
3,300113,顺网科技,2016-02-29,12.63,0.04
4,300146,汤臣倍健,2016-02-29,7000.00,9.62
5,300379,东方通,2016-02-29,268.61,2.33
6,600218,全柴动力,2016-02-29,8535.50,23.15
7,603969,银龙股份,2016-02-29,3187.41,7.97
8,000810,创维数字,2016-02-26,3675.81,3.68
9,002596,海南瑞泽,2016-02-26,474.73,1.46
10,300386,飞天诚信,2016-02-26,41.33,0.20
11,300407,凯发电气,2016-02-26,5018.80,36.90
12,601198,东兴证券,2016-02-26,40400.00,16.13
13,000027,深圳能源,2016-02-25,252696.66,63.74
14,002061,江山化工,2016-02-25,4438.20,9.79
15,002187,广百股份,2016-02-25,669.77,1.96
16,300245,天玑科技,2016-02-25,11.70,0.04
17,603118,共进股份,2016-02-25,4398.43,14.22
18,002107,沃华医药,2016-02-24,18134.15,50.27
19,300348,长亮科技,2016-02-24,274.06,1.88
20,300413,快乐购,2016-02-24,7437.74,18.55
21,300420,五洋科技,2016-02-24,972.57,10.71
22,300242,明家联合,2016-02-23,526.43,1.65
23,300421,力星股份,2016-02-23,1400.00,12.50
24,600416,湘电股份,2016-02-23,9444.44,12.70
25,002464,金利科技,2016-02-22,1059.00,7.27
26,600061,国投安信,2016-02-22,120582.76,32.64
27,600114,东睦股份,2016-02-22,13173.30,33.71
28,600988,赤峰黄金,2016-02-22,4373.74,6.13
29,000700,模塑科技,2016-02-19,3964.83,11.06
30,600136,当代明诚,2016-02-19,1623.34,6.66
31,002508,老板电器,2016-02-18,182.25,0.37
32,002741,光华科技,2016-02-18,6024.00,16.73
33,002742,三圣股份,2016-02-17,1325.45,9.21
34,002743,富煌钢构,2016-02-17,2700.00,22.25
35,002745,木林森,2016-02-17,2999.97,6.75
36,002746,仙坛股份,2016-02-17,1950.00,12.24
37,300394,天孚通信,2016-02-17,2206.25,29.68
38,300422,博世科,2016-02-17,3831.39,30.10
39,300423,鲁亿通,2016-02-17,1682.79,19.12
40,300426,唐德影视,2016-02-17,1210.17,7.56
41,300427,红相电力,2016-02-17,917.46,10.35
42,603222,济民制药,2016-02-17,1647.00,10.29
43,603618,杭电股份,2016-02-17,3440.00,16.12
44,603898,好莱客,2016-02-17,1373.40,4.67
45,603939,益丰药房,2016-02-17,7600.80,23.75
46,300137,先河环保,2016-02-16,599.77,1.74
47,300365,恒华科技,2016-02-16,549.36,3.13
48,000008,神州高铁,2016-02-15,17698.21,6.63
49,000552,靖远煤电,2016-02-15,42459.43,37.13
50,000622,恒立实业,2016-02-15,14223.54,33.45
51,000678,襄阳轴承,2016-02-15,12800.00,29.83
52,000831,五矿稀土,2016-02-15,23522.87,23.98
53,002251,步步高,2016-02-15,2744.24,3.52
54,002261,拓维信息,2016-02-15,1499.17,2.69
55,002279,久其软件,2016-02-15,216.50,1.00
56,002392,北京利尔,2016-02-15,1527.25,1.27
57,002467,二六三,2016-02-15,88.66,0.11
58,002596,海南瑞泽,2016-02-15,1331.85,4.11
59,300199,翰宇药业,2016-02-15,5400.98,6.07
60,300250,初灵信息,2016-02-15,919.93,9.38
61,600225,*ST松江,2016-02-15,22727.27,24.29
62,600284,浦东建设,2016-02-15,3200.00,4.62
63,600323,瀚蓝环境,2016-02-15,4946.71,6.46
64,600373,中文传媒,2016-02-15,6270.63,4.55
65,601011,宝泰隆,2016-02-15,34124.56,24.95
66,603111,康尼机电,2016-02-15,322.00,1.09
67,000425,徐工机械,2016-02-05,61.98,0.01
68,002400,省广股份,2016-02-05,1163.27,1.29
69,002429,兆驰股份,2016-02-05,9.45,0.01
70,600172,黄河旋风,2016-02-05,13741.92,17.34
71,600687,刚泰控股,2016-02-05,53678.39,36.06
72,000069,华侨城A,2016-02-04,284333.53,34.65
73,002711,欧浦智网,2016-02-04,611.47,1.85
74,300356,光一科技,2016-02-04,499.67,3.10
75,300413,快乐购,2016-02-04,5430.12,13.54
76,600116,三峡水利,2016-02-04,2846.86,8.60
77,600645,中源协和,2016-02-04,94.80,0.24
78,002609,捷顺科技,2016-02-03,43.85,0.07
79,002681,奋达科技,2016-02-03,222.77,0.36
80,300136,信维通信,2016-02-03,36.00,0.06
81,000409,山东地矿,2016-02-02,15.84,0.03
82,300061,康耐特,2016-02-02,104.50,0.42
83,600645,中源协和,2016-02-02,297.18,0.77
84,000403,ST生化,2016-02-01,554.97,2.04
85,000727,华东科技,2016-02-01,86206.90,38.06
86,002145,中核钛白,2016-02-01,19212.12,35.87
87,002281,光迅科技,2016-02-01,2335.12,11.12
88,300226,上海钢联,2016-02-01,11.24,0.07
89,300326,凯利泰,2016-02-01,1251.33,3.55
90,600225,*ST松江,2016-02-01,105.54,0.11
91,601111,中国国航,2016-02-01,19279.63,1.47
92,601777,力帆股份,2016-02-01,24285.71,19.33
