,code,name
0,600000,浦发银行
1,600016,民生银行
2,600028,中国石化
3,600029,南方航空
4,600030,中信证券
5,600036,招商银行
6,600048,保利地产
7,600050,中国联通
8,600100,同方股份
9,600104,上汽集团
10,600109,国金证券
11,600111,北方稀土
12,600485,信威集团
13,600518,康美药业
14,600519,贵州茅台
15,600547,山东黄金
16,600637,东方明珠
17,600837,海通证券
18,600887,伊利股份
19,600893,航发动力
20,600958,东方证券
21,600999,招商证券
22,601006,大秦铁路
23,601088,中国神华
24,601166,兴业银行
25,601169,北京银行
26,601186,中国铁建
27,601198,东兴证券
28,601211,国泰君安
29,601288,农业银行
30,601318,中国平安
31,601328,交通银行
32,601336,新华保险
33,601377,兴业证券
34,601390,中国中铁
35,601398,工商银行
36,601601,中国太保
37,601628,中国人寿
38,601668,中国建筑
39,601688,华泰证券
40,601766,中国中车
41,601788,光大证券
42,601800,中国交建
43,601818,光大银行
44,601857,中国石油
45,601901,方正证券
46,601985,中国核电
47,601988,中国银行
48,601989,中国重工
49,601998,中信银行
